!Agilent Technologies,E4990A,MY54101349,A.02.20
!Date: Wed Sep 28 20:28:10 2022

BEGIN CH1_DATA
Frequency(Hz), |Z|(Ohm)-data, theta-z(deg)-data, Ls(H)-data, Rs(Ohm)-data
+6.82010000000e+001, +2.90738956495e-001, +6.68091312299e+000, +7.89334737911e-005, +2.88764682219e-001
+6.86270000000e+001, +2.89269903320e-001, +6.05507110459e+000, +7.07646367438e-005, +2.87656056737e-001
+6.90560000000e+001, +2.88260671048e-001, +6.60213103279e+000, +7.63843021686e-005, +2.86349067524e-001
+6.94870000000e+001, +2.88126720677e-001, +5.47085878326e+000, +6.29177011275e-005, +2.86814250951e-001
+6.99210000000e+001, +2.89543317899e-001, +6.08830135772e+000, +6.99007685558e-005, +2.87910183671e-001
+7.03580000000e+001, +2.88370879424e-001, +5.99441249490e+000, +6.81223257500e-005, +2.86794091763e-001
+7.07980000000e+001, +2.89589954233e-001, +5.88551139189e+000, +6.67544434269e-005, +2.88063461546e-001
+7.12400000000e+001, +2.90956956730e-001, +6.21470735323e+000, +7.03673336826e-005, +2.89247063412e-001
+7.16850000000e+001, +2.89267931980e-001, +6.14601680140e+000, +6.87590800697e-005, +2.87605300330e-001
+7.21330000000e+001, +2.88356427292e-001, +6.81705785448e+000, +7.55205199896e-005, +2.86317808880e-001
+7.25830000000e+001, +2.91241158896e-001, +6.63442866568e+000, +7.37815766548e-005, +2.89290868670e-001
+7.30370000000e+001, +2.90269004011e-001, +6.32743879994e+000, +6.97108001659e-005, +2.88500769417e-001
+7.34930000000e+001, +2.90289481626e-001, +6.21828930276e+000, +6.80927450882e-005, +2.88581545754e-001
+7.39520000000e+001, +2.90501526460e-001, +5.90129600947e+000, +6.42799101361e-005, +2.88962011219e-001
+7.44140000000e+001, +2.90715276298e-001, +6.40055579115e+000, +6.93146017796e-005, +2.88903200833e-001
+7.48790000000e+001, +2.90423741034e-001, +6.91665004852e+000, +7.43378585603e-005, +2.88310149867e-001
+7.53460000000e+001, +2.88346512254e-001, +6.74557220913e+000, +7.15429831122e-005, +2.86350444257e-001
+7.58170000000e+001, +2.92521884611e-001, +7.07034912493e+000, +7.55835597970e-005, +2.90297480755e-001
+7.62910000000e+001, +2.90445904005e-001, +6.34922639390e+000, +6.70071343034e-005, +2.88664398576e-001
+7.67670000000e+001, +2.91397504969e-001, +6.83468945003e+000, +7.18947345298e-005, +2.89326729109e-001
+7.72470000000e+001, +2.88681156827e-001, +6.26120619386e+000, +6.48675653298e-005, +2.86959181372e-001
+7.77290000000e+001, +2.89870174344e-001, +6.43325756704e+000, +6.65021936025e-005, +2.88044876105e-001
+7.82150000000e+001, +2.88807957193e-001, +6.79436990235e+000, +6.95260343064e-005, +2.86779698802e-001
+7.87030000000e+001, +2.90465615038e-001, +6.56667989975e+000, +6.71731310315e-005, +2.88559997593e-001
+7.91950000000e+001, +2.90798692298e-001, +7.14317389990e+000, +7.26704382085e-005, +2.88541663818e-001
+7.96900000000e+001, +2.90034174949e-001, +6.95231343219e+000, +7.01141927198e-005, +2.87901622749e-001
+8.01870000000e+001, +2.90464607478e-001, +7.16188716119e+000, +7.18758000568e-005, +2.88198359851e-001
+8.06880000000e+001, +2.93365868581e-001, +6.97686815079e+000, +7.02885927504e-005, +2.91193574321e-001
+8.11920000000e+001, +2.88870149697e-001, +7.11971636352e+000, +7.01829104016e-005, +2.86642771908e-001
+8.17000000000e+001, +2.91138007945e-001, +7.51029938497e+000, +7.41288433347e-005, +2.88640446250e-001
+8.22100000000e+001, +2.92544615667e-001, +7.24776562864e+000, +7.14513188769e-005, +2.90207146252e-001
+8.27230000000e+001, +2.91931887059e-001, +7.04190070160e+000, +6.88571007148e-005, +2.89729775517e-001
+8.32400000000e+001, +2.90325419224e-001, +7.38466216841e+000, +7.13473841359e-005, +2.87917345482e-001
+8.37600000000e+001, +2.88153918350e-001, +7.63763270285e+000, +7.27708044577e-005, +2.85597548912e-001
+8.42830000000e+001, +2.90171167145e-001, +7.68831805560e+000, +7.33059134856e-005, +2.87562672667e-001
+8.48100000000e+001, +2.88466722975e-001, +7.25260711059e+000, +6.83407761830e-005, +2.86158760225e-001
+8.53400000000e+001, +2.90664820462e-001, +7.53905354455e+000, +7.11213895431e-005, +2.88152215721e-001
+8.58730000000e+001, +2.90228315224e-001, +7.57750762727e+000, +7.09316835520e-005, +2.87693862571e-001
+8.64090000000e+001, +2.88913155106e-001, +7.55773749765e+000, +6.99902406974e-005, +2.86403316120e-001
+8.69490000000e+001, +2.90006244826e-001, +7.67814217665e+000, +7.09244142463e-005, +2.87406119052e-001
+8.74920000000e+001, +2.90760824314e-001, +7.49783028289e+000, +6.90176881973e-005, +2.88274762138e-001
+8.80380000000e+001, +2.90161712900e-001, +7.57347023197e+000, +6.91348383575e-005, +2.87630537368e-001
+8.85880000000e+001, +2.91102786328e-001, +7.81665900561e+000, +7.11282462080e-005, +2.88397957828e-001
+8.91420000000e+001, +2.92624829046e-001, +8.01466735956e+000, +7.28441305647e-005, +2.89766589357e-001
